Wavlength (nm)	Coastal blue	Blue 475	green 531	Green 560	Red 650	Red 668	RedEdge 705	RedEdge 717	RedEdge 740	NIR
360	1.45519E-11	2.81024E-16	2.2846E-180	3.977E-67	0	0	0	0	0	1.19225E-86
361	2.6267E-11	5.22425E-16	2.8427E-178	1.82076E-66	0	0	0	0	0	2.70954E-86
362	4.70791E-11	9.65946E-16	3.4385E-176	8.27266E-66	0	0	0	0	0	6.14729E-86
363	8.37866E-11	1.77636E-15	4.0432E-174	3.73023E-65	0	0	0	0	0	1.39229E-85
364	1.48064E-10	3.24904E-15	4.6215E-172	1.66925E-64	0	0	0	0	0	3.14801E-85
365	2.59808E-10	5.91057E-15	5.1352E-170	7.41318E-64	0	0	0	0	0	7.10559E-85
366	4.52672E-10	1.06943E-14	5.5469E-168	3.26726E-63	0	0	0	0	0	1.60112E-84
367	7.83146E-10	1.92451E-14	5.8244E-166	1.42909E-62	0	0	0	0	0	3.60168E-84
368	1.34533E-09	3.4446E-14	5.9452E-164	6.20343E-62	0	0	0	0	0	8.08808E-84
369	2.29481E-09	6.13205E-14	5.8992E-162	2.6724E-61	0	0	0	0	0	1.8132E-83
370	3.88679E-09	1.08573E-13	5.6903E-160	1.14253E-60	0	0	0	0	0	4.05792E-83
371	6.53677E-09	1.91198E-13	5.3356E-158	4.84762E-60	0	0	0	0	0	9.06609E-83
372	1.0916E-08	3.34883E-13	4.8635E-156	2.04121E-59	0	0	0	0	0	2.02207E-82
373	1.81006E-08	5.83382E-13	4.3096E-154	8.52987E-59	0	0	0	0	0	4.50226E-82
374	2.98023E-08	1.01079E-12	3.7121E-152	3.53748E-58	0	0	0	0	0	1.00075E-81
375	4.87232E-08	1.74187E-12	3.1084E-150	1.45593E-57	0	0	0	0	0	2.22063E-81
376	7.90951E-08	2.98552E-12	2.5302E-148	5.94684E-57	0	0	0	0	0	4.91911E-81
377	1.27495E-07	5.08946E-12	2.0021E-146	2.41061E-56	0	0	0	0	0	1.08782E-80
378	2.04062E-07	8.62922E-12	1.54E-144	9.69762E-56	0	0	0	0	0	2.40151E-80
379	3.2431E-07	1.45519E-11	1.1516E-142	3.87168E-55	0	0	0	0	0	5.29263E-80
380	5.11785E-07	2.44071E-11	8.3706E-141	1.53402E-54	0	0	0	0	0	1.16444E-79
